female,age,equation,p10,p25,p50,p75,p90
0,76,ckd_epi_2009,50,62,74,84,88
0,76,ckd_epi_2021,54,66,80,90,93
0,76,ekfc,47,57,68,76,79
0,76,lund_malmo,46,56,64,71,77
0,77,ckd_epi_2009,48,60,73,83,87
0,77,ckd_epi_2021,52,65,78,89,92
0,77,ekfc,45,56,66,75,78
0,77,lund_malmo,44,54,63,70,76
0,78,ckd_epi_2009,47,59,71,82,86
0,78,ckd_epi_2021,51,64,77,88,92
0,78,ekfc,44,54,65,74,77
0,78,lund_malmo,43,53,61,68,75
0,79,ckd_epi_2009,45,57,70,81,85
0,79,ckd_epi_2021,49,62,75,88,91
0,79,ekfc,42,53,63,73,76
0,79,lund_malmo,42,52,60,68,74
0,80,ckd_epi_2009,44,56,68,80,85
0,80,ckd_epi_2021,48,60,74,87,90
0,80,ekfc,41,51,62,72,75
0,80,lund_malmo,40,50,59,66,73
0,81,ckd_epi_2009,42,54,68,80,84
0,81,ckd_epi_2021,46,59,73,86,90
0,81,ekfc,40,50,61,71,74
0,81,lund_malmo,38,49,58,66,72
0,82,ckd_epi_2009,41,53,66,79,83
0,82,ckd_epi_2021,45,58,72,85,89
0,82,ekfc,38,49,60,70,74
0,82,lund_malmo,37,48,57,64,71
0,83,ckd_epi_2009,40,51,64,78,82
0,83,ckd_epi_2021,43,56,70,84,88
0,83,ekfc,37,47,58,69,73
0,83,lund_malmo,35,46,56,64,70
0,84,ckd_epi_2009,38,50,63,76,82
0,84,ckd_epi_2021,42,54,69,83,88
0,84,ekfc,36,46,57,68,72
0,84,lund_malmo,34,45,54,62,69
0,85,ckd_epi_2009,37,49,62,76,81
0,85,ckd_epi_2021,41,54,68,82,87
0,85,ekfc,34,45,56,67,71
0,85,lund_malmo,33,44,54,62,68
0,86,ckd_epi_2009,36,48,61,74,80
0,86,ckd_epi_2021,40,52,66,80,86
0,86,ekfc,34,44,54,66,70
0,86,lund_malmo,32,43,52,60,67
0,87,ckd_epi_2009,35,46,59,73,79
0,87,ckd_epi_2021,38,51,65,79,86
0,87,ekfc,32,42,53,64,69
0,87,lund_malmo,30,41,51,60,66
0,88,ckd_epi_2009,34,45,58,72,79
0,88,ckd_epi_2021,37,50,64,78,85
0,88,ekfc,31,41,52,64,69
0,88,lund_malmo,29,40,50,59,65
0,89,ckd_epi_2009,34,44,57,71,78
0,89,ckd_epi_2021,37,48,62,77,84
0,89,ekfc,31,40,51,62,68
0,89,lund_malmo,29,39,49,57,64
0,90,ckd_epi_2009,32,43,56,69,77
0,90,ckd_epi_2021,36,47,61,76,83
0,90,ekfc,30,39,50,61,67
0,90,lund_malmo,28,38,48,56,63
